,date,open,high,low,close,volume,market_cap,year,month,quarter,price
7282,2019-10-19,7973.8,8082.63,7944.78,7988.56,13797825640.0,143808163807.0,2019,October,4,7997.4425
7283,2019-10-18,8100.93,8138.41,7902.16,7973.21,15651592610.0,143517630376.0,2019,October,4,8028.6775
7284,2019-10-17,8047.81,8134.83,8000.94,8103.91,14313052244.0,145853994298.0,2019,October,4,8071.8725
7285,2019-10-16,8204.67,8216.81,7985.09,8047.53,16071646996.0,144823993562.0,2019,October,4,8113.525000000001
7286,2019-10-15,8373.46,8410.71,8182.71,8205.37,15220412632.0,147650082215.0,2019,October,4,8293.0625
7287,2019-10-14,8320.83,8390.21,8284.13,8374.69,15151387859.0,150680499056.0,2019,October,4,8342.465
7288,2019-10-13,8336.9,8470.99,8276.61,8321.01,13808286059.0,149700817939.0,2019,October,4,8351.3775
7289,2019-10-12,8315.66,8415.24,8313.34,8336.56,14532641605.0,149965767624.0,2019,October,4,8345.2
7290,2019-10-11,8585.26,8721.78,8316.18,8321.76,19604381101.0,149685618275.0,2019,October,4,8486.245
7291,2019-10-10,8585.28,8625.27,8471.93,8586.47,17618660671.0,154430515160.0,2019,October,4,8567.2375
7292,2019-10-09,8229.84,8627.71,8169.3,8595.74,19384942333.0,154579656110.0,2019,October,4,8405.647500000001
7293,2019-10-08,8246.85,8332.72,8185.76,8228.78,15592264032.0,147966069982.0,2019,October,4,8248.5275
7294,2019-10-07,7989.12,8308.45,7905.77,8245.62,18009742607.0,148252589805.0,2019,October,4,8112.240000000001
7295,2019-10-06,8149.88,8161.41,7958.85,7988.16,13160830305.0,143607672862.0,2019,October,4,8064.575000000001
7296,2019-10-05,8210.15,8215.53,8071.12,8151.5,12200497197.0,146529229668.0,2019,October,4,8162.075
7297,2019-10-04,8259.49,8260.06,8151.24,8205.94,13139456229.0,147491804056.0,2019,October,4,8219.182499999999
7298,2019-10-03,8390.77,8414.23,8146.44,8259.99,13668823409.0,148448162840.0,2019,October,4,8302.8575
7299,2019-10-02,8344.21,8393.04,8227.7,8393.04,13125712443.0,150823797662.0,2019,October,4,8339.497500000001
7300,2019-10-01,8299.72,8497.69,8232.68,8343.28,15305343413.0,149913972768.0,2019,October,4,8343.3425
7301,2019-09-30,8104.23,8314.23,7830.76,8293.87,17115474183.0,149011567415.0,2019,September,3,8135.772499999999
7302,2019-09-29,8246.04,8261.71,7990.5,8104.19,13034629109.0,145590374681.0,2019,September,3,8150.61
7303,2019-09-28,8251.27,8285.62,8125.43,8245.92,14141152736.0,148122503616.0,2019,September,3,8227.060000000001
7304,2019-09-27,8113.1,8271.52,7965.92,8251.85,16408941156.0,148212635834.0,2019,September,3,8150.5975
7305,2019-09-26,8487.67,8515.69,7895.63,8118.97,19258205289.0,145812492488.0,2019,September,3,8254.49
7306,2019-09-25,8603.43,8744.83,8325.4,8486.99,21744728353.0,152404005091.0,2019,September,3,8540.1625
7307,2019-09-24,9729.32,9804.32,8370.8,8620.57,25002886689.0,154785821876.0,2019,September,3,9131.252499999999
7308,2019-09-23,10067.96,10074.24,9727.14,9729.32,15144925408.0,174674558023.0,2019,September,3,9899.664999999999
7309,2019-09-22,10024.12,10074.44,9922.53,10070.39,13199651698.0,180784051699.0,2019,September,3,10022.87
7310,2019-09-21,10183.65,10188.1,10000.71,10019.72,13425266806.0,179853287294.0,2019,September,3,10098.045
7311,2019-09-20,10266.32,10285.87,10132.19,10181.64,14734189639.0,182738947696.0,2019,September,3,10216.505000000001
7312,2019-09-19,10200.5,10295.67,9851.69,10266.41,19937691247.0,184240949577.0,2019,September,3,10153.567500000001
7313,2019-09-18,10247.8,10275.93,10191.47,10198.25,16169268880.0,182998899156.0,2019,September,3,10228.3625
7314,2019-09-17,10281.51,10296.77,10199.74,10241.27,15304603363.0,183748515828.0,2019,September,3,10254.8225
7315,2019-09-16,10347.22,10386.87,10189.74,10276.79,15160167779.0,184366827555.0,2019,September,3,10300.155
7316,2019-09-15,10356.47,10387.03,10313.09,10347.71,12043433567.0,185618174384.0,2019,September,3,10351.075
7317,2019-09-14,10345.4,10422.13,10291.69,10358.05,13468713124.0,185784300332.0,2019,September,3,10354.3175
7318,2019-09-13,10415.36,10441.49,10226.6,10360.55,14109864675.0,185809163035.0,2019,September,3,10361.0
7319,2019-09-12,10176.82,10442.25,10099.24,10410.13,15323563925.0,186678943059.0,2019,September,3,10282.109999999999
7320,2019-09-11,10123.03,10215.95,9980.78,10178.37,15428063426.0,182502788242.0,2019,September,3,10124.532500000001
7321,2019-09-10,10336.41,10394.35,10020.57,10115.98,14906809639.0,181360731383.0,2019,September,3,10216.8275
7322,2019-09-09,10443.23,10450.31,10144.93,10334.97,17595943368.0,185263578990.0,2019,September,3,10343.359999999999
7323,2019-09-08,10518.11,10595.64,10409.09,10441.28,13670567493.0,187150078007.0,2019,September,3,10491.029999999999
7324,2019-09-07,10353.93,10558.67,10348.92,10517.25,15307366476.0,188488525926.0,2019,September,3,10444.6925
7325,2019-09-06,10578.2,10898.76,10292.3,10353.3,19536574783.0,185530405363.0,2019,September,3,10530.64
7326,2019-09-05,10588.18,10627.27,10516.42,10575.53,14551239508.0,189492405383.0,2019,September,3,10576.85
7327,2019-09-04,10621.18,10762.64,10434.71,10594.49,16742664769.0,189810010608.0,2019,September,3,10603.255
7328,2019-09-03,10345.73,10736.1,10308.55,10623.54,19384917989.0,190312487956.0,2019,September,3,10503.48
7329,2019-09-02,9757.47,10396.59,9730.65,10346.76,17248102294.0,185333114163.0,2019,September,3,10057.8675
7330,2019-09-01,9630.59,9796.76,9582.94,9757.97,11445355859.0,174768292883.0,2019,September,3,9692.065
7331,2019-08-31,9597.54,9673.22,9531.8,9630.66,11454806419.0,172470743516.0,2019,August,3,9608.305
7332,2019-08-30,9514.84,9656.12,9428.3,9598.17,13595263986.0,171869216524.0,2019,August,3,9549.357500000002
7333,2019-08-29,9756.79,9756.79,9421.63,9510.2,17045878501.0,170274910132.0,2019,August,3,9611.3525
7334,2019-08-28,10203.43,10279.37,9716.66,9754.42,17603790323.0,174627460400.0,2019,August,3,9988.470000000001
7335,2019-08-27,10372.83,10381.33,10087.3,10185.5,14762609503.0,182325540955.0,2019,August,3,10256.740000000002
7336,2019-08-26,10126.3,10512.33,10126.3,10370.82,18438654080.0,185625235889.0,2019,August,3,10283.9375
7337,2019-08-25,10160.74,10304.62,10008.79,10138.52,14153856610.0,181450186164.0,2019,August,3,10153.167500000001
